"Concours","Tx TB","Tx Sup","Type"
"BCPST",52,66,"Candidats"
"Sc Soc",54,73,"Candidats"
"Droit, Eco, Gest",13,64,"Candidats"
"Eco, Gest",28,70,"Candidats"
"Info",51,76,"Candidats"
"Ang",29,62,"Candidats"
"Maths, phy",61,71,"Candidats"
"Maths, phy, info",54,67,"Candidats"
"Phy, chim",55,69,"Candidats"
"Phy, tech",9,58,"Candidats"
"TSI",25,30,"Candidats"
"Tout",36,65,"Candidats"
"BCPST",68,72,"Admissibles"
"Sc Soc",75,81,"Admissibles"
"Droit, Eco, Gest",68,22,"Admissibles"
"Eco, Gest",81,50,"Admissibles"
"Info",85,51,"Admissibles"
"Ang",84,68,"Admissibles"
"Maths, phy",76,73,"Admissibles"
"Maths, phy, info",77,69,"Admissibles"
"Phy, chim",75,69,"Admissibles"
"Phy, tech",67,21,"Admissibles"
"TSI",37,66,"Admissibles"
"Tout",73,52,"Admissibles"
